row_id,Best,Recommended,Not Recommended
224517,4,2,1
342942,2,3,4+
161936,4,2,4+
174430,3,2,4+
397598,4,3,5
316554,3,2,4+
233078,6,5,1
115746,2,4,1
167791,3,2,5+
187645,2,4,1
162886,2,1,4+
291457,2,1,4+
220308,3,2,4+
12333,2,2,1
84876,2,3,1
418059,3,2,4+
338960,2,1,4+
182028,3,2,1
421006,2,1,2+
193738,3,2,1
295770,3,2,4+
28720,4,3,1
246900,4,3,1
173346,2,1,2+
167355,4,3,5+
169786,4,3,5+
177736,3,1,4+
266507,4,2,1
124361,4,2,1
312484,3,2,4+
341169,3,2,4+
205637,2,1,2+
373106,2,1,2+
237182,4,3,1
120677,4,3,1
164928,4,2,1
192135,2,1,4+
266192,3,2,5+
96848,1,3,4+
251247,4,2,1
321608,4,3,1
199792,3,2,4+
324856,4,3,1
183394,4,2,6+
284378,3,2,4+
521,2,4,1
366013,6,3,6+
285774,2,3,4+
175914,3,2,1
390092,4,3,1
247763,2,3,4
365717,3,2,4+
256960,4,3,5+
253344,3,2,5+
414317,2,4,4+
383179,4,2,5+
3076,4,3,1
184267,3,2,4+
295947,2,4,4+
314040,4,2,4+
185343,3,2,4+
102794,4,2,7
251661,4,3,4+
31260,4,2,5+
170216,4,3,1
231733,2,1,4+
240980,12,7,1
182874,2,3,4
161533,3,2,4+
221107,4,2,4+
255984,2,3,4+
371942,3,2,4+
126163,4,2,1
2651,4,3,1
216132,4,2,4+
205059,4,2,5+
380607,3,2,4+
244521,4,2,1
266810,2,3,4
367966,3,2,4+
35677,3,2,5
125153,3,2,4+
124742,2,2,1
200680,4,2,4+
337627,1,2,4+
164153,5,3,5+
276025,3,2,4+
366161,2,1,2+
322289,3,2,4+
209010,4,3,1
332772,3,2,4+
436217,3,1,5+
284083,4,3,1
28143,2,3,1
55690,4,3,4+
157354,2,3,1
277659,1,1+,1+
230802,2,4,1
413246,4,3,1
201808,3,2,4+
359871,3,2,1
93,5,4,2
159675,2,1,2+
256916,4,2,6+
72125,4,3,1
291453,4,3,1
110327,4,2,1
191189,2,1,4+
359609,2,1,4+
229853,4,2,4+
364073,2,2,2+
317985,3,2,1
62219,4,3,1
12,4,5,1
279537,2,4,4+
225694,6,5,1
68448,4,3,1
25613,3,2,1
121921,1,2,4+
171623,4,2,1
163068,4,2,1
217372,4,3,1
391137,3,2,4+
410201,3,2,5
155821,4,3,1
37111,5,4,2
310873,4,2,4+
271055,3,2,5+
310100,4,3,5+
236457,4,2,5+
42,4,3,1
40834,3,2,1
227935,4,3,1
122515,4,2,1
170042,3,2,4+
264220,1,3,4+
146021,4,2,8
18602,3,2,1
4098,4,3,1
203993,4,2,1
73439,3,2,4+
396790,3,2,4+
269385,2,3,5+
172386,4,3,1
36218,3,4,1
163412,2,1,2+
43015,5,3,2
102680,4,2,1
218417,2,1,4+
12493,6,5,1
144733,4,2,4+
391163,2,3,5
429293,4,3,4+
205896,4,3,1
175640,4,2,4+
196340,3,2,1
254640,6,4,2
175155,3,2,1
325494,2,3,4+
198928,4,2,5+
233371,3,2,4+
178900,6,5,1
180263,1,2,4+
189932,4,3,1
172287,4,2,1
220877,4,2,1
463,2,3,1
258779,4,2,6+
304783,1,2,6+
235802,2,1,2+
30549,4,2,4+
132531,3,2,1
118048,2,1,2+
147020,2,2+,1
209418,2,4,1
266524,3,2,5+
14996,4,3,1
161970,4,2,1
358661,3,2,4+
268864,2,1,2+
249259,2,4,1
262712,2,3,1
400602,2,1,4+
271324,4,2,5+
77423,2,1,2+
274364,2,1,2+
34635,4,3,1
328871,3,1,4+
294484,2,4,1
148949,4,2,1
308765,3,2,4+
271896,3,2,4+
364011,3,2,4+
281259,3,2,4+
82222,3,4,5
296151,3,2,4+
146652,3,1,5+
127023,4,3,1
2511,2,1,7
283948,3,2,1
54043,2,2,1
103885,2,2+,1
316377,5,3,1
244522,2,1,4+
